CT2010	BuiltFAR	ResidFAR	CommFAR
186	1.6	6.02	0
186	3	6.02	0
257	2	3	0
197.02	2.35	4	0
218	3.25	4	0
201.02	1.78	4	0
216	3.74	3.44	0
216	3.7	3.44	0
220	0.67	4	0
197.02	0	4	0
220	0	6	0
201.02	3.28	4	0
216	1.98	4	0
216	4.27	3.44	0
216	1.48	4	0
197.02	0	4	0
218	4	4	0
257	0.17	6	0
257	3.83	4	0
216	1.98	4	0
201.02	0	4	0
257	4.44	6	0
197.02	1.98	4	0
218	3.71	4	0
216	1.98	3.44	0
216	3.19	3.44	0
257	1.78	3	0
216	3.66	3.44	0
216	2.23	3.44	0
216	3.66	3.44	0
257	2.74	3	0
216	1.49	4	0
201.02	3.91	4	0
257	1.08	4	0
216	1.48	4	0
257	2.38	3	0
257	2.8	3	0
218	4.26	4	0
218	1.39	4	0
197.02	1.46	4	0
257	3.74	6	0
220	4.33	6	0
257	6.95	4	0
257	2.38	3	0
257	3.5	4	0
218	10	6	0
201.02	3.91	4	0
201.02	3.65	4	0
216	3.88	3.44	0
218	3.79	6	0
216	5.54	3.44	0
216	0	4	0
197.02	3.62	6	0
216	2.65	3.44	0
257	0	4	0
257	1.84	3	0
201.02	0	4	0
218	3.22	6	0
218	0	6	0
216	3.03	6	0
197.02	3.72	4	0
218	3.18	4	0
216	3.57	4	0
216	2.38	4	0
220	3.86	6	0
197.02	1.9	4	0
218	0	0	0
197.02	4.65	4	0
257	3.96	3	0
201.02	3.68	4	0
197.02	3.74	4	0
197.02	3.72	4	0
216	3.84	3.44	0
216	4.44	3.44	0
218	4.66	4	0
218	2.41	4	0
257	2.34	3	0
216	3.88	3.44	0
257	2.47	3	0
218	5.27	3.44	0
257	2.9	3	0
257	1.98	3	0
216	4.41	3.44	0
220	1.49	4	0
257	5.02	4	0
201.02	0	6	0
197.02	3.59	4	0
220	3.77	6	0
216	7.23	6	0
218	4.06	6	0
201.02	3.25	4	0
197.02	3.67	4	0
216	3.51	3.44	0
257	3	6	0
197.02	1.98	4	0
201.02	3.86	4	0
257	1.84	3	0
201.02	2.4	4	0
257	1.81	3	0
257	3.79	4	0
201.02	0	4	0
257	1.78	3	0
216	1.7	4	0
257	2.87	3	0
257	2.88	3	0
197.02	3.4	4	0
257	0	4	0
257	2.38	3	0
216	3.82	3.44	0
257	4.49	4	0
257	2.67	3	0
257	2.38	3	0
257	7.61	6	0
257	5.28	4	0
201.02	3.65	4	0
257	2.58	3	0
216	3.46	4	0
216	4.47	3.44	0
220	3.77	6	0
257	4.31	6	0
218	1	6	0
216	3.42	4	0
197.02	3.82	6	0
220	3.98	4	0
216	5.17	6.02	0
197.02	3.72	4	0
257	1.07	4	0
218	3.84	4	0
201.02	2.4	4	0
220	3.39	4	0
218	3.4	6	0
216	3.89	3.44	0
257	2.3	3	0
