OBJECTID_1,OBJECTID,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Count_,Shape_Le_1,Shape_Area
1,1,1,Manhattan,061,MN06,Manhattanville,17040.68516430000,477,17040.68560680000,10647077.46440000000
2,2,1,Manhattan,061,MN04,Hamilton Heights,17410.82299530000,1283,17410.82289990000,16093788.03830000000
3,3,1,Manhattan,061,MN24,SoHo-TriBeCa-Civic Center-Little Italy,26854.63601750000,585,26854.63667740000,25032621.54770000000
4,4,1,Manhattan,061,MN35,Washington Heights North,26684.31744610000,1401,26684.23331060000,22666571.30760000000
5,5,1,Manhattan,061,MN25,Battery Park City-Lower Manhattan,43761.58682530000,140,43761.27204240000,19002702.06400000000
6,6,1,Manhattan,061,MN14,Lincoln Square,19869.90855790000,291,19869.68318120000,15805523.96940000000
7,7,1,Manhattan,061,MN17,Midtown-Midtown South,27032.70039920000,509,27032.58298080000,30191566.07990000000
8,8,1,Manhattan,061,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,45454.72219610000,556,45454.67305790000,37029745.52500000000
9,9,1,Manhattan,061,MN01,Marble Hill-Inwood,31845.41130750000,953,31845.33615670000,17732858.00360000000
10,10,1,Manhattan,061,MN23,West Village,29400.99407850000,710,29400.70438930000,25004819.36070000000
11,11,1,Manhattan,061,MN09,Morningside Heights,20746.05911550000,461,20746.03288540000,20155918.77390000000
12,12,1,Manhattan,061,MN12,Upper West Side,29160.15604860000,630,29160.15511530000,34380553.27460000000
13,13,1,Manhattan,061,MN36,Washington Heights South,22107.03496000000,1776,22106.78026310000,23093983.32140000000
14,14,1,Manhattan,061,MN99,park-cemetery-etc-Manhattan,155123.42448200000,92,155121.26622900000,91543392.97270000000
