NTACode,NTAName,Count_All,Count_Spring,Count_Summer,Count_Fall,Count_Winter
MN01,Marble Hill-Inwood,4249,1127,1352,953,817
MN35,Washington Heights North,6148,1452,2013,1401,1282
MN36,Washington Heights South,6830,1532,2209,1776,1313
MN04,Hamilton Heights,4811,1089,1331,1283,1108
MN06,Manhattanville,2073,590,752,477,254
MN09,Morningside Heights,1413,346,358,461,248
MN12,Upper West Side,2181,615,517,630,419
MN14,Lincoln Square,840,228,188,291,133
MN17,Midtown-Midtown South,1795,425,543,509,318
MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1980,466,445,556,513
MN23,West Village,2567,793,545,710,519
MN24,SoHo-TriBeCa-Civic Center-Little Italy,1977,546,456,585,390
MN25,Battery Park City-Lower Manhattan,603,121,176,140,166
